Title,Course,Description,Source,Prep Time,Cook Time,Total Time,Servings,Yield,Ingredients,Directions,Tags,Rating,Photo Url,Calories,Fat,Cholesterol,Sodium,Sugar,Carbohydrate,Fiber,Protein,Cost,Created At,Updated At
Etenstijd! Red Lentil Ful,,"This hearty dish is a home-cook-friendly version of a multicomponent wonder Rich Landau and company have served at V Street in Philly and Fancy Radish in DC. It’s based on the classic Egyptian dish ful (aka foul), which is traditionally made with fava beans.

Notes:
LENTIL FULL",Cool Beans Kookboek,,,,,,"ROASTED CAULIFLOWER
1½ pounds cauliflower, cut
into florets
2 tablespoons sumac
½ teaspoon kosher sait
2 tablespoons extra-virgin olive
oil, plus more for drizzling
Tahini, for drizzling
LENTIL FULL
1 tablespoon sunflower, safflower, or other neutral vegetable oil
¼ cup chopped white onion 1 garlic clove, minced
¼ cup chopped tomatoes 
1 tablespoon ground cumin 
1 teaspoon Moroccan spice (such as ras el hanout) or baharat spice blend 
½ teaspoon ground coriander 
1 teaspoon kosher salt, plus more to taste
½ teaspoon freshly ground biack pepper
1 cup red lentils, picked over and rinsed
3 cups Vegetable Broth (page 216), store-bought no-salt-added vegetable broth, or water
2 cups cooked or canned no-salt-added chickpeas (from two 15-ounce cans). drained and rinsed 
2 tablespoons unsalted vegan or dairy butter 
2 tablespoons fresh lemon juice
2 tablespoons extra-virgin olive oil","Preheat the oven to 450°F. Set a large rimmed baking sheet in the oven while it heats.
To make the lentil ful: Pour the vegetable oil into a Dutch oven or heavy stockpot over medium-high heat. When it shimmers, add the onion and garlic and sauté until it starts to brown, 4 to 6 minutes. Stir in the tomatoes, cumin, Moroccan spice, coriander, salt, and pepper and cook until the tomatoes break down, 2 to 3 minutes.
Stir in the lentils and broth, bring to a boil, reduce the heat to mediumlow, and simmer until the lentils break down and become tender and the mixture becomes thick, 15 to 20 minutes. Stir in the chickpeas, butter, lemon juice, and olive oil and cook until the chickpeas are heated through, 2 to 3 minutes. Taste and add more salt if needed. Turn off the heat and cover to keep warm.
While the ful is cooking, make the roasted cauliflower: In a bowl, toss together the cauliflower, sumac, salt, and olive oil. Spread out on the heated baking sheet and roast until tender and browned, 15 to 20 minutes.
To serve, divide the ful among shallow serving bowls, top with the cauliflower, and drizzle with olive oil and tahini. Serve hot.","Etenstijd!, Peulvruchten",,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/94B64C0A-799E-413E-B7D5-278B49EAA271.jpg,,,,,,,,,,28/02/2024 14:36,28/02/2024 14:36
Etenstijd! Northern Beans,,My take on Heartland autand bitter greens amps up t wonderfuly wonderfully My take on Heartland author and chef Lenny Russo's satisfying bowl of beans and bitter greens amps up the garlic and uses the rich bean cooking liquid instead of stock. I love serving these beans over toast to make it a meal.,Cool Beans,,,,,,"2 cups dried great Northern
beans (may substitute navy,
cannellini, or other white
beans), soaked overnight and
drained
Water
1 onion, studded with
12 whole cloves
2 large carrots
1 (3 by 5-inch) strip kombu
(dried seaweed)
3 bay leaves
3 tablespoons extra-virgin
olive oil
1 large bunch of broccoli rabe,
cut into 1-inch pieces
6 garlic cloves, finely chopped
1 teaspoon kosher salt, plus
more to taste
¼ teaspoon freshly ground
black pepper
6 thick slices rustic sourdough
bread, lightly toasted
1 tablespoon chile oil (optional)
¼ cup vegan or traditional
Parmesan, grated or shaved","Combine the beans in a large pot with enough water to cover by 2 inches. Add the onion, carrots, kombu, and bay leaves, turn the heat to medium-high, and bring the beans to a boil. Let then boil for 5 minutes, then reduce the heat so the beans are at a bare simmer, cover, and cook until the beans are very tender, about 1 hour. (Alternatively, you can cook the beans, water, and aromatic vegetables in a stovetop or electric pressure cooker: Bring to high pressure and cook for 17 minutes if using a stovetop model or 20 minutes for electric. Let the pressure release naturally, then open.)
Discard the onion, carrots, kombu, and bay leaves and strain the beans, reserving all of the cooking liquid.
In a deep skillet, heat the olive oil over medium heat until it shimmers. Stir in the broccoli rabe and sauté until very tender, about 8 minutes. Stir in the garlic and cook until it starts to soften, about 2 minutes. Stir in the drained beans, 1½ cups of the reserved cooking liquid, and the sait. Cook just until the beans are hot and the flavors have melded, 2 to 3 minutes. Stir in the pepper, taste, and add more salt if needed. Divide the toast among shallow serving bowls. Drizzle with the chile oil, if desired, and spoon the bean mixture and broth on top. Finish with the Parm and serve hot.","Etenstijd!, Peulvruchten",,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/B9C01B16-03E2-4996-B32E-DB55470A8EA9.jpg,,,,,,,,,,28/02/2024 14:39,28/02/2024 14:39
Zoete Aardappel-Kokos Soep met Chorizo,,,PLHEZ,,,,,,"Voor 1 pan:
1 ui, fijngesneden
1 rode peper, in ringen
3 middelgrote zoete aardappels
1 stuk gember van ongeveer 3 cm, geraspt en gesneden
2 el kerriepoeder
2 el paprikapoeder
1 tl komijnzaad
1 tl cayennepeper
5 g rozemarijn, alleen de blaadjes
750 ml (groente) bouillon
400 ml kokosmelk
1 chorizo
Olijfolie om in te bakken
Peper","Schil de zoete aardappel en snijd vervolgens in blokjes. 2. Verhit een scheut olijfolie in een diepe pan. Fruit de ui hier met de chilipeper en gember in aan. Voeg vervolgens de zoete aardappel en de kruiden toe en bak 3 minuten aan. Voeg dan de bouillon en de kokosmelk toe en laat minstens 30 minuten koken, in ieder geval tot de zoete aardappel helemaal gaar is. 3. Pureer de soep tot deze glad is. Indien de soep te dik is kun je wat extra water of bouillon toevoegen - maar ik houd juist van een dikke soep. Proef vervolgens en breng eventueel op smaak met extra peper. Zet nog even terug op laag vuur.
Snijd de chorizo in kleine stukjes en bak goudbruin en knapperig in een pan.
Giet de soep in een kom en top af met de chorizo en wat extra rozemarijn.",Soep,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/3108559A-92D2-44E5-8CA1-F9E3ECEA1822.jpg,,,,,,,,,,24/03/2024 18:40,24/03/2024 18:40
Macaroni met kaas,,"Dit is mijn variant op de traditionele macaroni met kaas. Door het gebruik van deze vier verschillende kazen, elk met hun eigen typische smaak, wordt het erg lekker. Voor de klassieke afwerking moet de schotel op het eind even onder de grill om een lekker krokant bruin korstje te krijgen - heerlijk. Als je ziet hoe snel dit gerecht klaar is, zul je niet meer zo gauw aan de bechamels of andere saaie, ouderwetse sauzen gaan.
voor 4 lor o personen",Kook met Jamie,,,,4,4,"500 g macaroni van goede
kwaliteit
zeezout en zwarte peper uit
de molen
een klont boter
een klein bosje verse
marjolein of oregano,
alleen de blaadjes
100 g Parmezaanse kaas,
vers van het stuk geraspt,
plus wat extra om over de
macaroni te strooien
100 g fontina of taleggio,
in stukjes verdeeld
100 g mascarpone
¼ nootje muskaat
een klein bolletje
buffelmozzarella","Verwarm de oven voor op 200 ot stand 6. Kook de macaroni 2 minuten korter dan aangegeven op de verpakking in een pan kokend water met wat zout, laat de pasta uitlekken in een vergiet en bewaar een klein beetje van het kookvocht. Verhit de boter in een koekenpan met dikke bodem. Doe zodra de boter begint te schuimen de blaadjes marjolein of oregano in de pan, laat ze een minuut bakken, tot ze krokant beginnen te worden, en zet het vuur uit. Doe de gekookte pasta samen met een paar lepels van het kookvocht en de Parmezaanse kaas, fontina of taleggio, en de mascarpone bij de marjolein of oregano in de boter. Zet de pan terug op een matig vuur en hussel en roer tot het grootste deel van de kaas gesmolten is en je een heerlijk kleverige saus hebt - het kan zijn dat er nog wat extra kookvocht bij moet. Breng het zaakje op smaak met zout en peper en doe het over in een aardewerken schaal. Rasp de nootmuskaat erover, trek de mozzarella in stukjes en leg die erop en bestrooi de macaroni met wat extra Parmezaan. Zet de schaal ongeveer 10 minuten in de voorverwarmde oven en ten slotte een paar minuten onder een gloeiend hete grill zodat er een lekker krokant, bruin korstie op komt.",Pasta,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/137BB7D3-3FBE-43E4-B50F-B41976131084.jpg,,,,,,,,,,15/06/2025 12:35,15/06/2025 12:35
Spaghetti met Mosselen,,"Razendsnelle spaghetti met mosselen in ee saus van witte wijn en basilicumolie
Voor mij draait het bij dit gerecht om de eenvoud. Het is naturel en niet te voor 4 personer gecompliceerd. Als je mosselen op deze manier kookt behouden ze hun eerlijke smaak en een klein beetje basilicumolie past daar perfect bij.",Kook met Jamie,,,,4,4,"basilicum
4 ansjovisfilets in olie, van
goede kwaliteit, uitgelekt
zeezout en zwarte peper uit
de molen
het sap van 2 citroenen
extra vierge olijfolie
500 g gedroogde spaghetti
van goede kwaliteit
1,5 kilo mosselen,
schoongemaakt en van de
baard ontdaan
een groot glas witte wijn
2 tot 3 verse rode Spaanse
pepers, van de zaadjes
ontdaan en fijngehakt","Pluk om te beginnen alle blaadjes van het basilicum en zet de kleinste blaadjes in een kopje koud water opzij. Doe de rest van de blaadjes met de ansjovisfilets en een flinke snuf zout in een vijzel en stamp en wrijf het tot een groene pasta. Voeg het sap van 1 citroen en 8 eetlepels extra vierge olijfolie toe. Als het goed is heb je nu een heerlijke, intens smakende basilicumolie.
Controleer de mosselen en tik eventuele open exemplaren stevig op een harde ondergrond. Als ze niet direct dichtgaan moet je ze weggooien. Kook de spaghetti volgens de aanwijzingen op de verpakking in een grote pan kokend water met zout. Laat de pasta wanneer hij mooi al dente gekookt is in een vergiet uitlekken.
Zet terwijl de spaghetti staat te koken, een grote pan op het vuur. Doe als deze echt gloeiend heet is de mosselen en de witte wijn erin en leg het deksel erop. Schud de mosselen even flink door elkaar en laat ze een paar minuten koken, totdat ze allemaal open zijn (gooi exemplaren die dichtblijven weg). Je hebt nu overheerlijk mosselsap in de pan. Hussel de gekookte spaghetti en de basilicumolie door de mosselen. Roer even, doe er wat extra citroensap bij, kruid het naar smaak en zet de pasta meteen op tafel. Vergeet het heerlijke groene vocht in de pan niet en strooi ten slotte wat gehakte Spaanse peper en de uitgelekte kleine basilicumblaadjes op de pasta.",Pasta,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/CFD2D9EF-43F7-47C6-9348-D15302DC073C.jpg,,,,,,,,,,15/06/2025 12:40,15/06/2025 12:40
Einkorn Chocolate Chip Cookies Recipe,,"Einkorn chocolate chip cookies are the perfect chewy and buttery cookie.

Notes:
If you do not have einkorn flour, you should be able to substitute it with all-purpose flour without an issue.
To make cookies all the same size, use a cookie scoop. It’s like a mini ice cream scoop that will give you evenly-sized cookies, and that means more consistent results.
Line your baking sheets with parchment paper for easier cleanup.",https://www.farmhouseonboone.com/toasted-coconut-cookies-recipe-with-chocolate-chip/,10,10,20,,24 cookies,"225 gram boter
100gr cup brown sugar
150gr cup white sugar
2 eggs
2 teaspoon vanilla
200gr starter/discard
420gr all purpose einkorn flour
1 teaspoon baking soda
1/2 teaspoon baking powder
1,5 teaspoon salt
340  dark chocolate chips","Preheat the oven to 375 degree.
In a mixer, cream together butter and sugar.
Add in egg and vanilla. Mix until well combined.
In a separate bowl, mix together dry ingredients and add to the wet ingredients.
Mix together until just incorporated.
Fold in chocolate chips and toasted coconut.
Spoon cookies onto a parchment lined cookie sheet and bake for 10-12 minutes or until the edges start to turn golden brown.
Place onto a wire rack to cool.",,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/farmhouseonboone.com_toasted-coconut-cookies-recipe-with-chocolate-chip.jpg,128,5 g,17 mg,110 mg,10 g,19 g,0.4 g,2 g,,19/06/2025 11:12,19/06/2025 11:12
Sourdough English Muffins Recipe,,"These easy sourdough english muffins cook up light and fluffy, with a delicious sourdough flavor! Mix everything the night before and wake up to a beautiful dough that's ready to be cut out and cooked to ""nook and cranny"" perfection!

Notes:
Use the scoop and level technique to measure your flour if you do not have a kitchen scale. To do this, use a spoon to fluff up the flour in the bag. Use a spoon to scoop the flour into a measuring cup until it is heaped on top. Take a butterknife and level off the top. This should give you the most accurate measurement for flour.
If you live in a very warm or humid environment, you may need to make adjustments in the recipe. I recommend reducing the milk by 30g and using granulated sugar instead of honey to help the dough from being too sticky to work with. Add more liquid if the dough is too stiff.
Store at room temperature for up to 5 days in a container or freeze for up to 3 months.",https://littlespoonfarm.com/sourdough-english-muffins-recipe/,20,8,1468,10,10,"# Ingredients to make ½ cup (100 g) of Active Sourdough Starter
1 tablespoon (15 g) sourdough starter
⅓ cup + 1 tablespoon (50 g) all-purpose flour
3 ½ tablespoons (50) water
# Dough Ingredients
½ cup (100 g) active sourdough starter
1 tablespoon (20 g) honey ((sugar or maple syrup))
1 cup (240 g) milk
3 cups (360 g) all-purpose flour
1 teaspoon (5 g) fine sea salt
¼ cup (40 g) cornmeal ((for sprinkling))","# Feed Your Sourdough Starter
12 hours before you plan to mix the dough, add the ingredients to make ½ cup (100 g) of active sourdough starter to a clean jar. Stir until combined, loosely cover the jar and let the starter rise at room temperature. (The ingredients will create a total of 115 g active starter but, because some of it will stick to the sides of the jar during the transfer, we are making a little more than needed.) The sourdough starter is ready to use when it has doubled in size and there are plenty of bubbles on the surface and sides of the jar.
# Make the Dough
Add 100g of the active starter and the rest of the ingredients (except corn meal) to a large bowl and use your hands to mix until well combined. Cover and let rest 30-60 minutes. Turn the dough out onto a floured surface and knead the dough by hand for 5 minutes. (A stand mixer with a dough hook attachment can be used on the lowest speed.)
Place the dough back into the bowl, cover and let ferment on the counter at room temperature 8-12 hours. (Room temperature is 65-70°F)
# Cut and Cook
Turn the dough out onto a floured surface, flour the top of the dough and press it out using your fingertips until it is 1/2"" in thickness.
Use a 3"" biscuit cutter to cut rounds and place them on a parchment lined baking sheet that's been sprinkled with cornmeal. Sprinkle the tops with cornmeal, cover with a tea towel and allow to rise for 1 hour at room temperature.
Preheat your non-stick skillet over LOW heat. Place 4 muffins into the skillet spaced 2"" apart, cover and cook the first side for 4 minutes. Turn the muffins over and cook for an additional 4 minutes. (When done, the center of a muffin should register about 200°F on an instant-read thermometer.)",,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/littlespoonfarm.com_sourdough-english-muffins-recipe.jpg,161,1 g,2 mg,299 mg,3 g,32 g,1 g,5 g,,20/06/2025 18:13,20/06/2025 18:13
Sourdough Granola,,"This homemade sourdough granola is uniquely tangy, lightly sweetened, and full of healthy fats from wholesome ingredients. The addition of sourdough starter and your favorite add-ins means lots of crunchy clusters in each bite of this delicious snack.

Notes:
For more sourdough flavor, use sourdough discard. For a milder flavor, use a fed starter.
Raw nuts will roast right along with the granola. I’ve used roasted nuts with good results, as well.
Don’t add the dried fruit before baking, as it can become tough and overly dry.
For the crunchiest granola, wait until it has cooled completely before breaking up into clusters. Break it up as little or as fine as you prefer!",https://www.farmhouseonboone.com/sourdough-granola/,5,30,35,,8 servings,"3 cups chopped nuts, (I used pistachios, but any nut will do.)
2 cups oats
8 ounces coconut chips
1/4 teaspoon salt
1/2 cup honey
1/2 cup oil, (avocado or melted coconut oil)
1/2 cup sourdough discard, (active starter will also work.)
1 cup dried fruit, (Mix it up and use whatever dried fruit you like)","Preheat the oven to 350 degrees. Add chopped nuts, oats, coconut, and salt to a large bowl and mix.
Add the honey, oil, and sourdough starter, stirring well.
Spread the mixture in an even layer on a parchment-lined cookie sheet and bake for 30 minutes, stirring halfway through. You'll know it's done when it's golden in color, and the honey and oats smell warm and toasty.
Add the dried fruit while the granola is still warm, then let it all cool completely before breaking up into clusters. Enjoy!",,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/farmhouseonboone.com_sourdough-granola.jpg,766,62 g,,87 mg,23 g,50 g,10 g,12 g,,20/06/2025 19:31,20/06/2025 19:31
Citroen maanzaad granola - Courgetti Confetti,,Citroen maanzaad granola 🌞 Deze zomerse granola is zó lekker en heel makkelijk om te maken. De granola blijft zeker 4-5 weken lekker! 🫙,https://courgetticonfetti.nl/recept/citroen-maanzaad-granola/?fbclid=IwQ0xDSwMABYFleHRuA2FlbQIxMQABHvZ4TeVuveVOWn_5gn675UCq37faQ9QhdMf4pNrwRI9RxjWrzjrpBKuw0ZgY_aem_h3GLMhHcfyuZ9hxqDLDoKA,,,,,,"200 g havermout grove of fijne vlokken
60 g lijnzaad
60 g kokosrasp
60 g pompoenpitten
60 g maanzaad
4 el honing
2 opgeklopte eiwitten
4-5 el olijfolie
2 citroenen
optioneel: 1-2 tl vanille extract","Rasp de schil van de citroenen met een fijne rasp en pers het sap uit in een glaasje.
Meng alle ingrediënten op een grote bakplaat. Houd je van zoet? Voeg dan wat extra honing toe.
Verdeel de granola over de bakplaat en druk het een beetje aan met de achterkant van een lepel.
Bak 20-30 minuten op 180 graden tot de granola mooi goudbruin is. Elke oven is anders, dus houd de granola goed in de gaten!",,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/courgetticonfetti.nl_recept_citroen-maanzaad-granola__fbclid_IwQ0xDSwMABYFleHRuA2FlbQIxMQABHvZ4TeVuveVOWn_5gn675UCq37faQ.jpg,,,,,,,,,,06/08/2025 9:54,06/08/2025 9:54
Chicken Okonomiyaki,,This Chicken Okonomiyaki recipe is simple to make & is full of healthy vegetables. Cook it on the BBQ for a tasty Osaka style meal. Get the recipe!,https://myfoodbook.com.au/recipes/show/chicken-okonomiyaki-0,10,30,,4,4,"½ cup (75g) self-raising flour
4 eggs
1 tbsp salt-reduced soy sauce
300g packet shredded coleslaw
1 ½ cups (240g) chopped cooked chicken
4 green onions, thinly sliced
⅓ cup (100g) Japanese-style mayonnaise
⅓ cup (80ml) tonkatsu sauce
2 tsp toasted sesame seeds","Place flour in a large bowl. Make a well in the centre and add eggs and soy sauce. Mix until smooth and combined. Stir in coleslaw, chicken and half the green onions
Heat a barbecue flat plate over medium-high heat and grease well with oil. Divide batter into four portions and spoon 1 portion of batter onto the preheated barbecue flat plate. Flatten out slightly to form a 1cm thick round (about 20cm in diameter) pancake
Barbecue for 4-7 minutes or until the underside is golden and cooked through. When pancake is set and firm enough to turn, carefully turn over, cook pancake for a further 3-5 minutes or until the inside is cooked and hot. Transfer pancakes to a plate. Repeat with remaining mixture, greasing barbecue between each pancake
To serve, drizzle with mayonnaise and tonkatsu sauce then sprinkle with sesame seeds and remaining green onions",,,https://raw.githubusercontent.com/rendyhd/melamigration/main/images/myfoodbook.com.au_recipes_show_chicken-okonomiyaki-0.jpg,,,,,,,,,,07/08/2025 14:21,07/08/2025 14:21
